model,domain,perturbation,total_cases,answer_correct_claim_unsupported,answer_incorrect_claim_supported,answer_correct_all_claims_supported,answer_incorrect_no_supported_claims
internvl35_8b_hf,chart,blur_downscale,40,0,2,4,34
internvl35_8b_hf,chart,clean,40,0,12,28,0
internvl35_8b_hf,chart,crop_removal,40,0,14,21,5
internvl35_8b_hf,chart,distractor_text,40,0,10,26,4
internvl35_8b_hf,chart,jpeg_compression,40,0,3,1,36
internvl35_8b_hf,ocr_doc,blur_downscale,40,0,0,9,31
internvl35_8b_hf,ocr_doc,clean,40,0,2,38,0
internvl35_8b_hf,ocr_doc,crop_removal,40,0,2,25,13
internvl35_8b_hf,ocr_doc,distractor_text,40,0,1,33,6
internvl35_8b_hf,ocr_doc,jpeg_compression,40,0,0,1,39
internvl35_8b_hf,scientific_figure,blur_downscale,40,0,1,0,39
internvl35_8b_hf,scientific_figure,clean,40,0,5,35,0
internvl35_8b_hf,scientific_figure,crop_removal,40,0,7,24,9
internvl35_8b_hf,scientific_figure,distractor_text,40,0,5,35,0
internvl35_8b_hf,scientific_figure,jpeg_compression,40,0,0,3,37
qwen3_vl_4b,chart,blur_downscale,40,0,5,4,31
qwen3_vl_4b,chart,clean,40,0,1,38,1
qwen3_vl_4b,chart,crop_removal,40,0,1,26,13
qwen3_vl_4b,chart,distractor_text,40,0,1,35,4
qwen3_vl_4b,chart,jpeg_compression,40,0,0,0,40
qwen3_vl_4b,ocr_doc,blur_downscale,40,0,1,12,27
qwen3_vl_4b,ocr_doc,clean,40,0,0,36,4
qwen3_vl_4b,ocr_doc,crop_removal,40,0,2,23,15
qwen3_vl_4b,ocr_doc,distractor_text,40,0,4,27,9
qwen3_vl_4b,ocr_doc,jpeg_compression,40,0,0,0,40
qwen3_vl_4b,scientific_figure,blur_downscale,40,0,0,0,40
qwen3_vl_4b,scientific_figure,clean,40,0,3,37,0
qwen3_vl_4b,scientific_figure,crop_removal,40,0,6,27,7
qwen3_vl_4b,scientific_figure,distractor_text,40,0,3,37,0
qwen3_vl_4b,scientific_figure,jpeg_compression,40,0,0,0,40
qwen3_vl_8b,chart,blur_downscale,40,0,7,5,28
qwen3_vl_8b,chart,clean,40,0,0,40,0
qwen3_vl_8b,chart,crop_removal,40,0,1,33,6
qwen3_vl_8b,chart,distractor_text,40,0,1,37,2
qwen3_vl_8b,chart,jpeg_compression,40,0,2,0,38
qwen3_vl_8b,ocr_doc,blur_downscale,40,0,0,9,31
qwen3_vl_8b,ocr_doc,clean,40,0,1,39,0
qwen3_vl_8b,ocr_doc,crop_removal,40,0,3,23,14
qwen3_vl_8b,ocr_doc,distractor_text,40,0,2,34,4
qwen3_vl_8b,ocr_doc,jpeg_compression,40,0,0,0,40
qwen3_vl_8b,scientific_figure,blur_downscale,40,0,0,4,36
qwen3_vl_8b,scientific_figure,clean,40,0,0,39,1
qwen3_vl_8b,scientific_figure,crop_removal,40,0,5,26,9
qwen3_vl_8b,scientific_figure,distractor_text,40,0,0,38,2
qwen3_vl_8b,scientific_figure,jpeg_compression,40,0,0,0,40
