model,domain,perturbation,clean_answer_accuracy,perturbed_answer_accuracy,answer_accuracy_drop,clean_claim_faithfulness,perturbed_claim_faithfulness,claim_faithfulness_drop
internvl35_8b_hf,chart,blur_downscale,0.7,0.1,0.6,1.0,0.1538,0.8462000000000001
internvl35_8b_hf,chart,crop_removal,0.7,0.525,0.17499999999999993,1.0,0.875,0.125
internvl35_8b_hf,chart,jpeg_compression,0.7,0.025,0.6749999999999999,1.0,0.1,0.9
internvl35_8b_hf,chart,distractor_text,0.7,0.65,0.04999999999999993,1.0,0.9,0.09999999999999998
internvl35_8b_hf,ocr_doc,blur_downscale,0.95,0.225,0.725,1.0,0.225,0.775
internvl35_8b_hf,ocr_doc,crop_removal,0.95,0.625,0.32499999999999996,1.0,0.675,0.32499999999999996
internvl35_8b_hf,ocr_doc,jpeg_compression,0.95,0.025,0.9249999999999999,1.0,0.025,0.975
internvl35_8b_hf,ocr_doc,distractor_text,0.95,0.825,0.125,1.0,0.85,0.15000000000000002
internvl35_8b_hf,scientific_figure,blur_downscale,0.875,0.0,0.875,1.0,0.025,0.975
internvl35_8b_hf,scientific_figure,crop_removal,0.875,0.6,0.275,1.0,0.775,0.22499999999999998
internvl35_8b_hf,scientific_figure,jpeg_compression,0.875,0.075,0.8,1.0,0.075,0.925
internvl35_8b_hf,scientific_figure,distractor_text,0.875,0.875,0.0,1.0,1.0,0.0
qwen3_vl_4b,chart,blur_downscale,0.95,0.1,0.85,0.975,0.225,0.75
qwen3_vl_4b,chart,crop_removal,0.95,0.65,0.29999999999999993,0.975,0.675,0.29999999999999993
qwen3_vl_4b,chart,jpeg_compression,0.95,0.0,0.95,0.975,0.0,0.975
qwen3_vl_4b,chart,distractor_text,0.95,0.875,0.07499999999999996,0.975,0.9,0.07499999999999996
qwen3_vl_4b,ocr_doc,blur_downscale,0.9,0.3,0.6000000000000001,0.9,0.3171,0.5829
qwen3_vl_4b,ocr_doc,crop_removal,0.9,0.575,0.32500000000000007,0.9,0.6098,0.2902
qwen3_vl_4b,ocr_doc,jpeg_compression,0.9,0.0,0.9,0.9,0.0,0.9
qwen3_vl_4b,ocr_doc,distractor_text,0.9,0.675,0.22499999999999998,0.9,0.775,0.125
qwen3_vl_4b,scientific_figure,blur_downscale,0.925,0.0,0.925,1.0,0.0,1.0
qwen3_vl_4b,scientific_figure,crop_removal,0.925,0.675,0.25,1.0,0.825,0.17500000000000004
qwen3_vl_4b,scientific_figure,jpeg_compression,0.925,0.0,0.925,1.0,0.0,1.0
qwen3_vl_4b,scientific_figure,distractor_text,0.925,0.925,0.0,1.0,1.0,0.0
qwen3_vl_8b,chart,blur_downscale,1.0,0.125,0.875,1.0,0.3,0.7
qwen3_vl_8b,chart,crop_removal,1.0,0.825,0.17500000000000004,1.0,0.85,0.15000000000000002
qwen3_vl_8b,chart,jpeg_compression,1.0,0.0,1.0,1.0,0.05,0.95
qwen3_vl_8b,chart,distractor_text,1.0,0.925,0.07499999999999996,1.0,0.95,0.050000000000000044
qwen3_vl_8b,ocr_doc,blur_downscale,0.975,0.225,0.75,1.0,0.225,0.775
qwen3_vl_8b,ocr_doc,crop_removal,0.975,0.575,0.4,1.0,0.65,0.35
qwen3_vl_8b,ocr_doc,jpeg_compression,0.975,0.0,0.975,1.0,0.0,1.0
qwen3_vl_8b,ocr_doc,distractor_text,0.975,0.85,0.125,1.0,0.9,0.09999999999999998
qwen3_vl_8b,scientific_figure,blur_downscale,0.975,0.1,0.875,0.975,0.1,0.875
qwen3_vl_8b,scientific_figure,crop_removal,0.975,0.65,0.32499999999999996,0.975,0.775,0.19999999999999996
qwen3_vl_8b,scientific_figure,jpeg_compression,0.975,0.0,0.975,0.975,0.0,0.975
qwen3_vl_8b,scientific_figure,distractor_text,0.975,0.95,0.025000000000000022,0.975,0.95,0.025000000000000022
